organisationunitid,organisationunitname,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
DLyaDAF00hm,204 MAHOTTARI,2 Madhesh Province,2,204,3.0,32.0,0,33.0,0,3.0,0,10.0,0,4.0,0,0,0,0,0,0,0,0,0,7.0,3.0,0,0,1.0,0,0,0,0,0,0,8.0,4.0,1.0,0,2.0,0,4.0,0,0,6.0,27.0,2.0,3.0,4.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,1.0,0,0,0,0,28.0,0,30.0,0,3.0,0,0,0,2.0,0,0,0,0,5.0,0,0,0,11.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,13.0,2.0,1.0,5.0,0,0,0,0,0,0,0,2.0,0,0,1.0,1.0,0,0,0,0,5.0,0,1.0,0,25.0
vjL1uSC10Jh,701 BAJURA,7 Sudurpashchim Province,7,701,0,1.0,1.0,0,4.0,2.0,0,0,0,4.0,2.0,0,0,2.0,1.0,1.0,5.0,1.0,2.0,5.0,3.0,4.0,2.0,0,0,0,0,0,1.0,1.0,0,5.0,0,0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,11.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,2.0,2.0,0,0,0,0,7.0,2.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,1.0,7.0,1.0,1.0,0,5.0,3.0,26.0
CNFRaFUfLjo,111 JHAPA,1 Koshi Province,1,111,0,0,0,154.0,0,0,1157.0,186.0,146.0,49.0,80.0,3.0,0,0,0,2.0,113.0,196.0,242.0,89.0,48.0,0,0,0,0,0,0,2.0,68.0,75.0,64.0,12.0,8.0,3.0,0,0,0,2.0,128.0,98.0,304.0,139.0,68.0,0,3.0,0,0,0,2.0,38.0,70.0,64.0,12.0,10.0,3.0,0,0,0,2.0,20.0,32.0,43.0,8.0,0,0,0,0,0,0,3.0,112.0,109.0,124.0,35.0,51.0,4.0,0,0,0,2.0,100.0,107.0,217.0,110.0,32.0,9.0,3.0,0,0,0,2.0,9.0,7.0,14.0,3.0,5.0,0,0,0,0,2.0,36.0,61.0,72.0,14.0,14.0,9.0,3.0,0,0,0,4.0,12.0,14.0,18.0,1.0,3.0,3.0,0,0,2.0,0,163.0,156.0,268.0,201.0,85.0,118.0
Fh294RrB7an,208 PARSA,2 Madhesh Province,2,208,1.0,2.0,0,1.0,0,2.0,1.0,0,2.0,12.0,17.0,3.0,0,8.0,1.0,0,2.0,218.0,7.0,9.0,14.0,1.0,0,1.0,0,0,0,0,1.0,0,4.0,0,11.0,2.0,0,1.0,3.0,8.0,1.0,11.0,2.0,15.0,8.0,0,0,0,0,0,0,0,88.0,4.0,0,8.0,0,0,0,1.0,0,0,30.0,5.0,1.0,5.0,0,3.0,0,1.0,0,1.0,1.0,65.0,0,2.0,10.0,1.0,0,0,0,0,0,83.0,0,7.0,3.0,0,2.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,1.0,0,36.0,4.0,1.0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,9.0,0,0,1.0,1.0,17.0,8.0,15.0
uHEl9oRZm8L,102 SANKHUWASABHA,1 Koshi Province,1,102,8.0,6.0,9.0,10.0,6.0,10.0,8.0,16.0,5.0,13.0,9.0,4.0,4.0,5.0,9.0,5.0,13.0,13.0,7.0,11.0,12.0,7.0,5.0,3.0,10.0,2.0,2.0,2.0,4.0,2.0,27.0,4.0,2.0,8.0,7.0,4.0,8.0,8.0,9.0,11.0,10.0,2.0,14.0,9.0,2.0,1.0,2.0,0,1.0,0,2.0,19.0,1.0,1.0,0,0,0,0,0,0,0,1.0,1.0,0,8.0,6.0,4.0,2.0,2.0,6.0,5.0,6.0,9.0,11.0,6.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,6.0,3.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,6.0,0,0,6.0,11.0,5.0,5.0,5.0,4.0,9.0,5.0,15.0,11.0,32.0
kBRVmS9IKRE,610 SURKHET,6 Karnali Province,6,610,13.0,13.0,1.0,3.0,0,1.0,0,3.0,12.0,9.0,18.0,3.0,1.0,2.0,1.0,0,0,1.0,1.0,7.0,8.0,10.0,0,2.0,1.0,0,1.0,0,0,0,0,5.0,0,15.0,16.0,4.0,4.0,0,4.0,4.0,4.0,16.0,10.0,11.0,0,0,0,1.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,4.0,0,2.0,1.0,0,1.0,0,1.0,5.0,5.0,3.0,2.0,0,2.0,0,0,2.0,2.0,6.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,3.0,0,0,2.0,0,0,0,0,0,0,0,8.0,14.0,6.0,5.0,2.0,1.0,3.0,9.0,17.0,6.0,57.0
YmFSl06J6cs,203 DHANUSA,2 Madhesh Province,2,203,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,16.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,17.0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,3.0,0,0,0,0,11.0,0,4.0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,1.0,0,0,0,0,17.0,0,4.0
B7X957nA1lM,104 OKHALDHUNGA,1 Koshi Province,1,104,1.0,0,3.0,4.0,0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,0,3.0,0,3.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0,1.0,0,0,0,0,1.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,19.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,0,1.0,3.0,3.0,4.0,3.0,2.0,8.0,36.0
i6gMyoP9ReK,113 SUNSARI,1 Koshi Province,1,113,0,0,0,0,0,0,0,0,1.0,0,176.0,0,0,0,1.0,0,0,0,0,0,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0,2.0,158.0,142.0,0,0,0,0,0,0,0,0,0,52.0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,120.0,78.0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,40.0,0,52.0,51.0,0,0,0,1.0,0,0,0,13.0,0,20.0,1.0,0,0,0,0,0,0,0,0,237.0,501.0
ICSVN3EZGcy,410 PARBAT,4 Gandaki Province,4,410,4.0,18.0,11.0,21.0,4.0,2.0,3.0,4.0,4.0,7.0,1.0,20.0,27.0,14.0,11.0,3.0,1.0,8.0,12.0,1.0,7.0,3.0,1.0,3.0,5.0,0,0,5.0,0,1.0,0,0,2.0,15.0,16.0,15.0,13.0,17.0,4.0,3.0,1.0,7.0,5.0,2.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,2.0,15.0,10.0,10.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,0,10.0,4.0,6.0,1.0,10.0,1.0,0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,1.0,3.0,0,1.0,0,0,0,0,9.0,0,1.0,0,0,0,0,0,10.0,22.0,10.0,17.0,2.0,15.0,1.0,8.0,11.0,7.0,20.0
BywOwm8jUhf,703 DARCHULA,7 Sudurpashchim Province,7,703,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,1.0,3.0,0,0,0,0,0,1.0,0,1.0,1.0,0,1.0,0,5.0,0,0,0,0,0,0,0,1.0,4.0,1.0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,1.0,2.0,0,0,4.0,1.0,7.0
kfrKchZfqGr,407 TANAHU,4 Gandaki Province,4,407,10.0,17.0,0,3.0,2.0,1.0,3.0,27.0,2.0,10.0,22.0,11.0,20.0,1.0,7.0,13.0,17.0,33.0,1.0,8.0,5.0,4.0,5.0,6.0,0,2.0,0,1.0,2.0,0,0,0,19.0,13.0,15.0,7.0,7.0,8.0,27.0,8.0,8.0,7.0,11.0,3.0,11.0,0,0,0,0,0,8.0,0,0,9.0,8.0,0,1.0,0,0,3.0,1.0,0,0,0,12.0,13.0,1.0,2.0,0,8.0,3.0,41.0,1.0,7.0,12.0,10.0,10.0,0,1.0,4.0,5.0,15.0,6.0,2.0,8.0,20.0,7.0,2.0,0,2.0,0,0,0,0,1.0,0,9.0,9.0,0,0,1.0,3.0,2.0,0,0,2.0,18.0,8.0,7.0,3.0,0,1.0,2.0,0,0,0,1.0,11.0,28.0,6.0,7.0,7.0,26.0,18.0,6.0,3.0,18.0,47.0
BdLcDbLQd88,101 TAPLEJUNG,1 Koshi Province,1,101,0,3.0,4.0,10.0,11.0,2.0,2.0,0,1.0,2.0,0,6.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,2.0,0,1.0,0,0,1.0,5.0,1.0,3.0,6.0,5.0,1.0,4.0,0,1.0,1.0,1.0,4.0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,6.0,3.0,10.0,4.0,0,2.0,2.0,0,1.0,1.0,0,2.0,1.0,0,0,0,1.0,2.0,1.0,0,4.0,2.0,0,3.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,6.0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,4.0,2.0,9.0,1.0,0,1.0,1.0,1.0,1.0,1.0,5.0
zkFZKX5RX1A,501 RUKUM EAST,5 Lumbini Province,5,501,0,0,0,0,1.0,3.0,1.0,8.0,1.0,1.0,3.0,0,0,0,0,0,2.0,2.0,1.0,0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,2.0,0,0,1.0,1.0,3.0,3.0,0,0,3.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,3.0,10.0
WfE2smSUNDt,504 GULMI,5 Lumbini Province,5,504,2.0,381.0,3.0,8.0,10.0,8.0,4.0,7.0,9.0,10.0,14.0,1.0,1.0,1.0,6.0,0,18.0,15.0,5.0,17.0,9.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,0,2.0,0,2.0,0,1.0,6.0,3.0,15.0,7.0,6.0,16.0,9.0,20.0,21.0,7.0,2.0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3.0,9.0,8.0,3.0,9.0,6.0,5.0,11.0,3.0,1.0,9.0,4.0,0,0,1.0,2.0,5.0,5.0,5.0,0,3.0,8.0,3.0,0,2.0,1.0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,1.0,1.0,1.0,3.0,0,3.0,0,0,0,0,1.0,1.0,3.0,0,0,0,0,2.0,3.0,1.0,11.0,7.0,8.0,16.0,13.0,7.0,10.0,27.0
QzI3Btz60Ne,305 NUWAKOT,3 Bagmati Province,3,305,1.0,5.0,8.0,3.0,1.0,9.0,3.0,6.0,2.0,6.0,10.0,6.0,2.0,5.0,4.0,5.0,6.0,3.0,1.0,5.0,5.0,0,0,0,3.0,4.0,0,1.0,4.0,0,0,1.0,1.0,10.0,3.0,220.0,4.0,10.0,9.0,7.0,6.0,7.0,3.0,5.0,1.0,0,2.0,1.0,0,0,0,0,0,0,3.0,0,0,1.0,0,0,0,0,0,0,0,9.0,2.0,0,0,5.0,2.0,0,1.0,2.0,0,0,1.0,0,0,1.0,3.0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,7.0,7.0,7.0,6.0,7.0,4.0,1.0,3.0,12.0
