organisationunitid,organisationunitname,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
DLyaDAF00hm,204 MAHOTTARI,2 Madhesh Province,2,204,3.0,32.0,0,33.0,12.0,13.0,20.0,10.0,2.0,4.0,0,0,2.0,0,0,0,0,0,2.0,9.0,3.0,0,44.0,1.0,0,0,0,4.0,0,0,8.0,4.0,11.0,0,2.0,0,12.0,0,8.0,6.0,27.0,4.0,13.0,14.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,36.0,0,30.0,0,17.0,0,0,4.0,4.0,12.0,0,2.0,0,5.0,0,0,0,11.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,23.0,2.0,5.0,5.0,0,0,0,0,0,0,0,2.0,0,0,1.0,3.0,0,0,0,10.0,5.0,0,1.0,4.0,63.0
vjL1uSC10Jh,701 BAJURA,7 Sudurpashchim Province,7,701,0,1.0,1.0,0,4.0,2.0,0,0,0,4.0,2.0,2.0,0,2.0,1.0,1.0,5.0,1.0,2.0,9.0,3.0,4.0,2.0,0,0,0,0,0,1.0,1.0,0,5.0,0,0,5.0,1.0,1.0,3.0,3.0,7.0,3.0,3.0,11.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,2.0,1.0,1.0,0,0,0,0,2.0,2.0,0,0,0,0,7.0,2.0,0,0,1.0,0,2.0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3.0,2.0,1.0,15.0,3.0,1.0,0,5.0,3.0,28.0
CNFRaFUfLjo,111 JHAPA,1 Koshi Province,1,111,0,0,0,170.0,2.0,54.0,1505.0,204.0,160.0,57.0,94.0,3.0,0,0,0,2.0,129.0,200.0,292.0,111.0,52.0,0,0,0,0,0,0,2.0,74.0,95.0,100.0,14.0,8.0,3.0,0,0,0,2.0,142.0,114.0,388.0,163.0,80.0,2.0,3.0,0,0,0,2.0,40.0,72.0,70.0,12.0,10.0,3.0,0,12.0,16.0,2.0,20.0,34.0,43.0,10.0,2.0,0,0,0,0,0,3.0,118.0,127.0,132.0,39.0,61.0,4.0,0,0,0,4.0,106.0,113.0,237.0,118.0,34.0,9.0,3.0,0,0,0,2.0,9.0,9.0,24.0,3.0,5.0,6.0,0,0,0,2.0,40.0,61.0,84.0,68.0,14.0,9.0,3.0,0,0,0,4.0,16.0,14.0,18.0,29.0,3.0,3.0,0,0,2.0,0,173.0,176.0,336.0,217.0,107.0,132.0
Fh294RrB7an,208 PARSA,2 Madhesh Province,2,208,3.0,4.0,2.0,3.0,0,4.0,1.0,2.0,2.0,18.0,35.0,5.0,2.0,18.0,1.0,0,8.0,252.0,13.0,17.0,28.0,1.0,0,1.0,0,0,0,0,1.0,0,4.0,0,17.0,6.0,2.0,3.0,3.0,10.0,3.0,15.0,2.0,15.0,42.0,0,0,0,0,18.0,0,0,94.0,6.0,2.0,12.0,0,0,0,1.0,0,0,32.0,5.0,3.0,5.0,10.0,3.0,0,1.0,0,3.0,1.0,73.0,0,8.0,20.0,9.0,0,0,0,2.0,0,95.0,2.0,7.0,23.0,0,6.0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,1.0,0,40.0,6.0,7.0,4.0,0,0,0,0,1.0,0,0,0,0,0,0,11.0,0,1.0,11.0,4.0,0,1.0,3.0,19.0,14.0,15.0
uHEl9oRZm8L,102 SANKHUWASABHA,1 Koshi Province,1,102,8.0,6.0,9.0,10.0,6.0,12.0,12.0,16.0,7.0,25.0,21.0,4.0,4.0,5.0,9.0,5.0,15.0,15.0,13.0,11.0,12.0,9.0,5.0,3.0,10.0,6.0,2.0,2.0,4.0,2.0,27.0,18.0,8.0,10.0,9.0,4.0,10.0,8.0,19.0,15.0,10.0,8.0,34.0,13.0,2.0,1.0,2.0,2.0,1.0,0,2.0,19.0,11.0,9.0,0,0,0,0,0,0,0,1.0,9.0,0,12.0,8.0,8.0,4.0,6.0,6.0,9.0,8.0,9.0,21.0,14.0,1.0,4.0,3.0,2.0,2.0,5.0,4.0,7.0,6.0,5.0,4.0,0,3.0,0,0,0,0,0,0,4.0,6.0,4.0,0,0,0,1.0,0,0,2.0,0,21.0,0,0,2.0,0,0,0,0,0,6.0,0,10.0,8.0,19.0,17.0,5.0,5.0,10.0,11.0,5.0,19.0,13.0,64.0
kBRVmS9IKRE,610 SURKHET,6 Karnali Province,6,610,15.0,21.0,5.0,3.0,2.0,1.0,2.0,5.0,22.0,17.0,18.0,7.0,3.0,8.0,1.0,0,0,1.0,5.0,7.0,14.0,16.0,8.0,4.0,1.0,0,3.0,0,0,0,0,5.0,2.0,23.0,20.0,4.0,4.0,6.0,4.0,6.0,6.0,22.0,16.0,15.0,0,0,4.0,1.0,0,2.0,0,0,3.0,0,2.0,0,0,0,0,0,0,0,0,1.0,12.0,6.0,6.0,2.0,1.0,0,1.0,0,9.0,7.0,9.0,13.0,2.0,0,2.0,0,0,2.0,2.0,6.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,1.0,0,0,4.0,0,0,5.0,0,0,2.0,0,0,0,0,0,0,0,8.0,18.0,10.0,5.0,2.0,1.0,3.0,13.0,17.0,16.0,77.0
YmFSl06J6cs,203 DHANUSA,2 Madhesh Province,2,203,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,96.0,12.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,117.0,2.0,0,2.0,0,4.0,4.0,0,1.0,0,0,0,6.0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,3.0,0,0,0,0,127.0,0,18.0,0,0,0,0,1.0,2.0,0,0,0,0,8.0,0,0,0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,1.0,0,0,6.0,0,117.0,6.0,22.0
B7X957nA1lM,104 OKHALDHUNGA,1 Koshi Province,1,104,1.0,0,3.0,4.0,0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0,0,5.0,0,3.0,2.0,4.0,5.0,0,0,2.0,0,0,0,0,0,0,0,3.0,7.0,11.0,4.0,1.0,3.0,1.0,4.0,1.0,7.0,3.0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,22.0,0,0,0,2.0,0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,0,1.0,0,0,0,0,1.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,19.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,0,3.0,3.0,3.0,4.0,5.0,4.0,8.0,40.0
i6gMyoP9ReK,113 SUNSARI,1 Koshi Province,1,113,0,0,0,0,0,0,2.0,0,1.0,0,218.0,4.0,0,0,1.0,0,0,0,0,22.0,190.0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,2.0,0,0,0,0,1.0,18.0,250.0,206.0,0,0,0,0,0,0,0,0,42.0,56.0,0,0,0,0,0,0,0,0,18.0,30.0,0,0,2.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,92.0,22.0,138.0,96.0,0,0,0,0,0,0,0,0,12.0,7.0,0,0,0,0,0,0,0,46.0,56.0,58.0,57.0,2.0,0,0,1.0,0,0,0,13.0,24.0,20.0,1.0,0,0,0,0,0,0,0,2.0,313.0,717.0
ICSVN3EZGcy,410 PARBAT,4 Gandaki Province,4,410,4.0,18.0,17.0,21.0,6.0,4.0,3.0,6.0,6.0,7.0,3.0,20.0,27.0,14.0,15.0,3.0,1.0,8.0,12.0,3.0,9.0,3.0,1.0,3.0,5.0,0,0,5.0,0,1.0,2.0,0,4.0,15.0,16.0,15.0,13.0,17.0,8.0,3.0,3.0,7.0,5.0,8.0,0,5.0,0,0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,2.0,0,0,0,2.0,15.0,12.0,10.0,5.0,4.0,2.0,13.0,2.0,2.0,5.0,0,10.0,4.0,6.0,1.0,10.0,1.0,0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,1.0,3.0,0,1.0,0,0,0,0,9.0,0,1.0,0,0,0,0,0,10.0,24.0,10.0,27.0,2.0,17.0,3.0,8.0,11.0,11.0,26.0
