organisationunitid,organisationunitname,district_name,district_code,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
YubZ3SsXpMk,10905 Falgunanda Rural Municipality,109 PANCHTHAR,109,1 Koshi Province,1,10905,2.0,0,2.0,3.0,0,1.0,2.0,0,0,1.0,0,0,3.0,3.0,3.0,2.0,2.0,0,0,0,0,0,2.0,0,0,0,0,1.0,1.0,0,0,0,0,1.0,0,3.0,2.0,3.0,4.0,2.0,0,0,2.0,3.0,1.0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,2.0,2.0,0,0,0,0,1.0,2.0,2.0,1.0,1.0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,1.0,2.0,3.0,3.0,6.0,1.0,3.0,1.0,0,1.0,4.0
UYA23UmgomU,30802 Lalitpur Metropolitan City,308 LALITPUR,308,3 Bagmati Province,3,30802,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0
wXQf5ocsOhG,20804 Paterwa Sugauli Rural Municipality,208 PARSA,208,2 Madhesh Province,2,20804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cRyJg8XWXOc,30511 Shivapuri Rural Municipality,305 NUWAKOT,305,3 Bagmati Province,3,30511,0,0,1.0,0,0,1.0,1.0,0,2.0,1.0,2.0,0,1.0,0,1.0,1.0,0,1.0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0,3.0,0,1.0,1.0,0,1.0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,2.0,2.0,0,0,4.0
xBDvxlFhSZC,11213 Budhiganga Rural Municipality,112 MORANG,112,1 Koshi Province,1,11213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
A8EZqSGm5PY,11306 Itahari Sub-Metropolitan City,113 SUNSARI,113,1 Koshi Province,1,11306,0,0,0,0,0,0,2.0,0,0,0,218.0,4.0,0,0,0,0,0,0,0,0,190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,248.0,206.0,0,0,0,0,0,0,0,0,0,56.0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,138.0,96.0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,46.0,0,56.0,57.0,2.0,0,0,0,0,0,0,13.0,0,20.0,0,0,0,0,0,0,0,0,0,311.0,717.0
XJBL0CSQyqH,60801 Aathabisakot Municipality,608 RUKUM WEST,608,6 Karnali Province,6,60801,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,4.0,0,0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0,0,0,5.0
IWfloqDjBht,20801 Thori Rural Municipality,208 PARSA,208,2 Madhesh Province,2,20801,3.0,0,0,2.0,0,2.0,1.0,0,1.0,0,21.0,5.0,2.0,2.0,1.0,0,0,0,2.0,0,16.0,1.0,0,0,0,0,0,0,1.0,0,0,0,12.0,0,2.0,0,3.0,5.0,0,0,1.0,0,15.0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,0,0,0,1.0,1.0,0,0,15.0,0,0,0,0,2.0,0,0,2.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,10.0,4.0,0,1.0,1.0,2.0,14.0,1.0
N6qQtnkpek0,50410 Gulmi Durbar Rural Municipality,504 GULMI,504,5 Lumbini Province,5,50410,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,2.0
hehIZAJVZtd,70207 Chhabis Pathibhara Rural Municipality,702 BAJHANG,702,7 Sudurpashchim Province,7,70207,0,0,0,0,0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0
