district_code,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
101,130395.0,130649.0,130890.0,120366.0,120455.0,114187.0,114187.0,114187.0
102,156583.0,156064.0,155531.0,159468.0,161292.0,154839.0,154839.0,154839.0
103,103060.0,102517.0,101969.0,104720.0,105343.0,102606.0,102606.0,102606.0
104,151153.0,151414.0,151657.0,140989.0,141505.0,134442.0,134442.0,134442.0
105,179386.0,175334.0,171360.0,175296.0,175123.0,165465.0,165465.0,165465.0
106,160301.0,156949.0,153653.0,158967.0,158536.0,150294.0,150294.0,150294.0
107,170068.0,170803.0,171526.0,150611.0,154358.0,147906.0,147906.0,147906.0
108,101035.0,100821.0,100597.0,89128.0,89108.0,85579.0,85579.0,85579.0
109,196466.0,196878.0,197272.0,174535.0,174980.0,165999.0,165999.0,165999.0
110,308668.0,310944.0,313208.0,281170.0,284963.0,274716.0,274716.0,274716.0
111,908109.0,920895.0,933778.0,996515.0,1011648.0,1014155.0,1014155.0,1014155.0
112,1073307.0,1087721.0,1102227.0,1149763.0,1165899.0,1166261.0,1166261.0,1166261.0
113,888730.0,906043.0,923607.0,937183.0,953770.0,947813.0,947813.0,947813.0
114,350166.0,354466.0,358790.0,343537.0,348152.0,340614.0,340614.0,340614.0
201,699664.0,707568.0,715495.0,714711.0,723924.0,713716.0,713716.0,713716.0
202,693410.0,700665.0,707934.0,750505.0,763741.0,746133.0,746133.0,746133.0
203,828401.0,838084.0,847800.0,875116.0,886544.0,877365.0,877365.0,877365.0
204,696650.0,705838.0,715083.0,717241.0,731061.0,714562.0,714562.0,714562.0
205,874663.0,888986.0,903458.0,859695.0,874206.0,875388.0,875388.0,875388.0
206,817585.0,835944.0,854640.0,831672.0,847402.0,836299.0,836299.0,836299.0
207,806070.0,822555.0,839302.0,746218.0,759945.0,781039.0,781039.0,781039.0
208,696618.0,709867.0,723304.0,651122.0,661444.0,673262.0,673262.0,673262.0
301,187272.0,187120.0,186951.0,172949.0,174217.0,167172.0,166123.0,166123.0
302,293665.0,294123.0,294555.0,262961.0,263445.0,252438.0,251071.0,251071.0
303,44819.0,44977.0,45132.0,45780.0,47191.0,46087.0,46038.0,46038.0
304,351643.0,353434.0,355202.0,322878.0,323705.0,317040.0,317829.0,317829.0
305,286206.0,287092.0,287955.0,263338.0,265174.0,255767.0,254205.0,254205.0
306,2155622.0,2214130.0,2274026.0,2023681.0,2056681.0,2126090.0,2106275.0,2106275.0
307,358909.0,366497.0,374215.0,431555.0,437701.0,465576.0,472826.0,472826.0
308,555632.0,567905.0,580399.0,549788.0,558231.0,580598.0,572378.0,572378.0
309,399594.0,401643.0,403666.0,367808.0,372954.0,357638.0,352257.0,352257.0
310,208038.0,208547.0,209037.0,170544.0,170228.0,161779.0,159244.0,159244.0
311,308961.0,310406.0,311828.0,300563.0,302717.0,298410.0,295582.0,295582.0
312,455554.0,460084.0,464613.0,461647.0,465440.0,470293.0,468514.0,468514.0
313,678079.0,691674.0,705474.0,723807.0,732133.0,738959.0,751373.0,751373.0
401,251041.0,247845.0,244668.0,252661.0,255291.0,238858.0,240698.0,240698.0
402,6362.0,6330.0,6298.0,5684.0,5808.0,5881.0,4690.0,4690.0
403,11831.0,11587.0,11345.0,14699.0,15338.0,14960.0,11193.0,11193.0
404,111532.0,111082.0,110624.0,107440.0,107360.0,102692.0,101762.0,101762.0
405,571032.0,581962.0,593047.0,601090.0,609869.0,613946.0,619958.0,619958.0
406,171430.0,171739.0,172033.0,153557.0,153997.0,148597.0,149701.0,149701.0
407,342903.0,345297.0,347679.0,328026.0,330491.0,312915.0,315094.0,315094.0
408,346211.0,350820.0,355460.0,382129.0,388477.0,380979.0,395612.0,395612.0
409,257870.0,253089.0,248374.0,255329.0,257473.0,235685.0,240431.0,240431.0
410,148337.0,148392.0,148434.0,132721.0,132804.0,123206.0,124873.0,124873.0
411,281495.0,282993.0,284472.0,251884.0,256044.0,236197.0,239917.0,239917.0
501,57565.0,58126.0,58687.0,58092.0,58786.0,56002.0,56002.0,56002.0
502,235903.0,237240.0,238565.0,236754.0,239770.0,231770.0,231770.0,231770.0
503,240302.0,241751.0,243187.0,232453.0,235928.0,224088.0,224088.0,224088.0
504,260432.0,257266.0,254115.0,247162.0,249109.0,231926.0,231926.0,231926.0
505,201935.0,202283.0,202615.0,177452.0,178880.0,165820.0,165820.0,165820.0
506,250717.0,248875.0,247024.0,243170.0,247241.0,235349.0,235349.0,235349.0
507,368509.0,373380.0,378282.0,386591.0,393082.0,391532.0,391532.0,391532.0
508,1037110.0,1058940.0,1081131.0,1122118.0,1141595.0,1153914.0,1153914.0,1153914.0
509,653511.0,664674.0,675964.0,689091.0,703189.0,696893.0,696893.0,696893.0
510,633500.0,644563.0,655761.0,677963.0,687776.0,681175.0,681175.0,681175.0
511,588279.0,601876.0,615728.0,605265.0,616695.0,619054.0,619054.0,619054.0
512,471691.0,477666.0,483674.0,461919.0,468341.0,460108.0,460108.0,460108.0
601,41463.0,42111.0,42767.0,43163.0,44431.0,43362.0,43362.0,43362.0
602,62631.0,63636.0,64651.0,66972.0,68941.0,65710.0,65710.0,65710.0
603,57555.0,58468.0,59390.0,55762.0,57442.0,56140.0,56140.0,56140.0
604,122642.0,124503.0,126380.0,119691.0,121410.0,118952.0,118952.0,118952.0
605,155883.0,158482.0,161109.0,145375.0,148252.0,146877.0,146877.0,146877.0
606,292064.0,296147.0,300261.0,254011.0,258480.0,247215.0,247215.0,247215.0
