organisationunitid,organisationunitname,organisationunitcode,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,district_code
TnT6m8FZEet,10101 Phaktanlung Rural Municipality,10101,12261.0,12283.0,12305.0,11928.0,11951.0,11197.0,11197.0,11197.0,101
gIhVZulvEsV,10102 Mikwakhola Rural Municipality,10102,9311.0,9324.0,9329.0,7995.0,8023.0,7628.0,7628.0,7628.0,101
dcsJaeSXHa6,10103 Meringden Rural Municipality,10103,13705.0,13743.0,13789.0,12046.0,12086.0,11198.0,11198.0,11198.0,101
zce1OaOO6G0,10104 Maiwakhola Rural Municipality,10104,11262.0,11272.0,11288.0,10370.0,10395.0,9730.0,9730.0,9730.0,101
zGGY6Sw9Uuw,10105 Aatharai Tribeni Rural Municipality,10105,14041.0,14065.0,14089.0,12289.0,12298.0,11665.0,11665.0,11665.0,101
gIwoGLpdBl1,10106 Phungling Municipality,10106,27537.0,27613.0,27684.0,28777.0,28732.0,27843.0,27843.0,27843.0,101
FpflD8BqlMO,10107 Yangwarak Rural Municipality,10107,13824.0,13848.0,13869.0,11796.0,11786.0,11215.0,11215.0,11215.0,101
LDhcTMEQwFc,10108 Sirijanga Rural Municipality,10108,16140.0,16166.0,16184.0,14183.0,14185.0,13323.0,13323.0,13323.0,101
xRUd1elou25,10109 Sidingba Rural Municipality,10109,12314.0,12335.0,12353.0,10982.0,10999.0,10388.0,10388.0,10388.0,101
FJI9kFuS86i,10201 Bhotkhola Rural Municipality,10201,6476.0,6454.0,6432.0,6628.0,6729.0,6047.0,6047.0,6047.0,102
hGD6CIUUSxR,10202 Makalu Rural Municipality,10202,13388.0,13338.0,13292.0,15205.0,14950.0,13249.0,13249.0,13249.0,102
X3rzE53ksA1,10203 Silichong Rural Municipality,10203,11633.0,11586.0,11532.0,10463.0,10643.0,9609.0,9609.0,9609.0,102
gZbwskTTWq8,10204 Chichila Rural Municipality,10204,7041.0,7019.0,6997.0,7372.0,7320.0,6494.0,6494.0,6494.0,102
iujDcxElwWs,10205 Sabhapokhari Rural Municipality,10205,10217.0,10172.0,10133.0,10031.0,10194.0,9393.0,9393.0,9393.0,102
XLjQzv0rxIP,10206 Khandabari Municipality,10206,31482.0,31432.0,31356.0,36383.0,36882.0,36387.0,36387.0,36387.0,102
O83QKtwuJWq,10207 Panchakhapan Municipality,10207,17147.0,17077.0,17007.0,16437.0,16728.0,16615.0,16615.0,16615.0,102
SmI574YhzLn,10208 Chainapur Municipality,10208,27089.0,26996.0,26909.0,27149.0,27581.0,27204.0,27204.0,27204.0,102
