organisationunitid,organisationunitname,organisationunitcode,,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2082 - Asar 2083,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Magh 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Ashwin 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Asar 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2080,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2078,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Chaitra 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Bhadra 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2077,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2082,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Mangsir 2076,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Poush 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2081,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2075,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Shrawan 2073,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Jestha 2074,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Falgun 2072,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Kartik 2079,OPD-Morbidity-Other Diseases & Injuries-Snake Bite-Non Poisonous Baishak 2074
YubZ3SsXpMk,10905 Falgunanda Rural Municipality,10905,,4,,2,,,1,,,,,1,,,,,2,,1,,,,3,,,1,,,3,,,,2,,,,1,,,,2,,,1,3,1,3,,,2,,1,,1,,,3,,,1,,3,,,,2,,,2,,,,,,,,,,1,2,1,,3,3,,,,,,2,,,,2,,6,,,,,1,,,,1,,,2,,1,,,,1,1,,,1,1,,1,1,,3,,2,1,,1,
UYA23UmgomU,30802 Lalitpur Metropolitan City,30802,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
wXQf5ocsOhG,20804 Paterwa Sugauli Rural Municipality,20804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cRyJg8XWXOc,30511 Shivapuri Rural Municipality,30511,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,2,,,1,,,,,2,,,,3,,,,1,1,1,,,1,1,1,,1,1,,,,,,,,,,,,4,,1,,,,,1,,,,,,,,,3,1,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
A8EZqSGm5PY,11306 Itahari Sub-Metropolitan City,11306,,,,,,,,,,,,,,,,136,,,,,52,,,,7,,,,,,,,,,,,142,,,20,386,,,,,,,,,,,,,,,,,,,237,158,,,,,,,,,,52,40,,115,,,,,,,,,,,26,,,,,,,176,,,,,,51,,,,,,,,,,,,,,,,,,,13,78,,,,,120,,,,,,86,
xBDvxlFhSZC,11213 Budhiganga Rural Municipality,11213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJBL0CSQyqH,60801 Aathabisakot Municipality,60801,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,1,,2,,,3,,,,5,,,,2,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
IWfloqDjBht,20801 Thori Rural Municipality,20801,,,,,,,,,,,,1,3,,,10,1,,,,7,,,,,,,,1,,,,,1,,,,,,,1,,2,,1,,1,,,,1,,,,,,,9,1,8,7,,1,,,,,,1,,,,,,,,,,,,,,,3,4,,,,,,,13,,3,6,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,3,8,,,,,,
N6qQtnkpek0,50410 Gulmi Durbar Rural Municipality,50410,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hehIZAJVZtd,70207 Chhabis Pathibhara Rural Municipality,70207,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
fZ3LDhJyCuw,30902 Bhumlu Rural Municipality,30902,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,1,1,,,,,,,,,1,1,,,,,,5,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,,,11,,,,,,,,,,,,,,,1,
UOfRfLoQcDc,41004 Phalebas Municipality,41004,,,,,,,,,,,,4,3,,,,,4,,,,,2,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,1,3,,,,1,1,1,,1,,,1,,,,,,,2,,,,,,,,,,,2,,1,,,,2,,,,,1,,,,,,,,4,,,,1,,,,,,,2,,,,,,,2,,,,,3,,,,
QtO7FHYoYFL,11401 Belaka Municipality,11401,,25,5,,,24,,,,,,23,,7,5,46,,,,4,11,16,,6,,13,,,30,20,1,28,,15,,,,3,,6,52,,28,,,27,,,2,,38,28,,28,18,21,,14,19,56,32,7,16,,,,23,,15,,4,2,17,21,2,,,5,,,1,9,,16,1,16,,,6,22,11,28,,,12,20,30,5,,,4,,19,11,5,,2,12,20,3,5,,5,,,10,2,11,1,,,,16,,,2,1,,28,
eVhFBYrBC9Y,30206 Indrawoti Rural Municipality,30206,,,,,,1,,,,,,,,,,2,,1,,,,,,,,1,,,1,,,1,,4,,,3,,,1,8,,,1,,,,,,,,,,,3,,,,,5,,1,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
dcsJaeSXHa6,10103 Meringden Rural Municipality,10103,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,2,,,,,2,,,,,2,,,,2,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,3,,,
uxG1PtRsuGp,50906 Maharajganj Municipality,50906,,,,,3,,,,,,,,,,,,,4,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
MEJFzydYnSx,20703 Jitpur Simara Sub-Metropolitan City,20703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hkYy0OSJtes,30503 Suryagadhi Rural Municipality,30503,,,,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,
n22NGxaQxai,11112 Birtamod Municipality,11112,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLyaDAF00hm,204 MAHOTTARI,204,,,,,,10,,,,,,,,,8,3,3,2,,,,,,,,,,,5,,,2,,,1,,4,8,,,17,32,,,,4,,,,,27,3,,,,2,,,,,3,33,,,,,7,,,,1,13,,8,1,,,2,,5,28,5,,,,,,,4,,,,,4,1,,,5,,,,,1,2,,,,6,3,,,,,,,30,2,,,,1,,,,,1,,,11,
RYcEcFRtMjF,70403 Puchaundi Municipality,70403,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,1,,,,,,1,
vjL1uSC10Jh,701 BAJURA,701,,1,,,,,,,,,,,,1,,3,,5,,,,,,,,7,,,1,,,3,5,4,,,2,1,,,16,1,2,2,2,4,1,,,1,3,2,,1,1,2,2,2,,3,11,,,,,2,5,,,,,,4,10,,,,,,,1,1,1,1,,1,,,5,1,1,2,,1,,7,,,,,1,,5,,,,,5,,,1,,,,1,1,,,,,,,,1,,3,,,,
j6f5ROpUwXM,20712 Simraungadh Municipality,20712,,,,,,30,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,23,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fvN7GZvNAOB,6 Karnali Province,6,,52,2,3,1,22,2,2,2,9,2,49,6,7,2,44,17,34,5,,1,10,14,1,,2,,3,38,3,,36,28,31,4,,30,4,4,,132,27,19,8,45,43,12,,9,9,46,23,,37,17,16,7,18,5,39,86,18,9,7,6,3,19,7,19,3,1,,29,57,3,3,,,3,6,11,10,26,22,1,25,,,15,9,4,31,,33,2,32,37,4,,,2,,69,8,10,2,,33,12,3,,,,31,2,7,,10,1,1,18,11,10,22,10,32,3,,5,92
CNFRaFUfLjo,111 JHAPA,111,,128,38,,14,186,3,,14,,,268,3,75,64,48,,,,64,10,107,,43,5,2,,,156,124,2,139,113,,,1,,61,,3,68,,242,100,,49,,,2,,304,,3,163,196,35,,51,109,85,68,154,112,,7,,89,,1157,,14,72,,50,32,4,,14,,,,110,,2,,,9,3,12,2,70,80,,,8,,146,9,8,3,68,12,201,12,2,,4,98,3,2,20,,,3,36,,18,9,2,,3,,32,2,,,,3,217,
YCPqJYFT5dV,50808 Tilottama Municipality,50808,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Tez14GQoi,70208 Durgathali Rural Municipality,70208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,
LuBkxJ50bKr,50102 Sisne Rural Municipality,50102,,,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,2,,,,6,,,,,,,,,,,2,,,2,,,,,2,,,1,,,,,,,,,,,3,,,,,,,1,,,,,,,2,1,,,1,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Fh294RrB7an,208 PARSA,208,,1,,,1,,,,,,,1,3,,4,14,1,,,4,8,83,,5,1,,,,1,,,15,2,1,1,,,36,,,8,2,7,,1,12,1,,,,2,2,2,,218,2,8,10,65,8,8,1,1,,,,9,,1,,2,4,,7,30,1,,1,1,,3,7,1,8,5,,,,,,88,17,,3,11,,2,,1,,1,,17,,,,,11,1,,,,,2,,1,,,1,1,1,,3,9,,,,,,
LgUWza3LscP,11107 Damak Municipality,11107,,106,17,,12,153,3,,8,,,97,3,63,51,,,,,33,,85,,30,,2,,,94,88,2,93,104,,,,,36,,,,,104,91,,,,,2,,125,,3,144,126,,,,80,,,,89,,6,,67,,137,,,33,,,25,3,,,,,,86,,2,,,4,,,2,58,,,,,,124,,,3,45,6,167,,2,,4,76,3,2,17,,,3,28,,15,,2,,3,,,,,,,3,105,
