organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Population (monthly) March 2024,Population (monthly) February 2025,Population (monthly) September 2022,Population (monthly) March 2021,Population (monthly) September 2019,Population (monthly) February 2022,Population (monthly) November 2020,Population (monthly) April 2023,Population (monthly) March 2018,Population (monthly) December 2024,Population (monthly) July 2020,Population (monthly) October 2023,Population (monthly) February 2019,Population (monthly) March 2020,Population (monthly) November 2022,Population (monthly) September 2021,Population (monthly) October 2025,Population (monthly) May 2021,Population (monthly) September 2018,Population (monthly) October 2022,Population (monthly) November 2019,Population (monthly) May 2018,Population (monthly) December 2023,Population (monthly) October 2019,Population (monthly) January 2020,Population (monthly) February 2020,Population (monthly) March 2019,Population (monthly) July 2021,Population (monthly) August 2025,Population (monthly) July 2018,Population (monthly) November 2023,Population (monthly) August 2022,Population (monthly) April 2020,Population (monthly) April 2025,Population (monthly) May 2024,Population (monthly) October 2020,Population (monthly) December 2021,Population (monthly) December 2018,Population (monthly) February 2021,Population (monthly) March 2025,Population (monthly) June 2023,Population (monthly) August 2021,Population (monthly) January 2023,Population (monthly) February 2018,Population (monthly) August 2018,Population (monthly) March 2022,Population (monthly) May 2020,Population (monthly) August 2020,Population (monthly) October 2021,Population (monthly) October 2018,Population (monthly) June 2024,Population (monthly) February 2024,Population (monthly) June 2021,Population (monthly) August 2019,Population (monthly) April 2022,Population (monthly) June 2020,Population (monthly) July 2024,Population (monthly) September 2020,Population (monthly) April 2019,Population (monthly) May 2023,Population (monthly) October 2024,Population (monthly) September 2025,Population (monthly) December 2025,Population (monthly) June 2022,Population (monthly) April 2021,Population (monthly) May 2025,Population (monthly) November 2018,Population (monthly) April 2018,Population (monthly) December 2022,Population (monthly) January 2022,Population (monthly) June 2019,Population (monthly) September 2024,Population (monthly) May 2022,Population (monthly) July 2023,Population (monthly) January 2019,Population (monthly) December 2019,Population (monthly) November 2025,Population (monthly) January 2024,Population (monthly) May 2019,Population (monthly) July 2025,Population (monthly) August 2024,Population (monthly) January 2021,Population (monthly) March 2023,Population (monthly) June 2018,Population (monthly) July 2022,Population (monthly) January 2018,Population (monthly) November 2024,Population (monthly) September 2023,Population (monthly) July 2019,Population (monthly) April 2024,Population (monthly) November 2021,Population (monthly) December 2020,Population (monthly) February 2023,Population (monthly) June 2025,Population (monthly) August 2023,Population (monthly) January 2025
TnT6m8FZEet,10101 Phaktanlung Rural Municipality,10101,à¤«à¤•à¥�à¤¤à¤¾à¤™à¥�à¤²à¥�à¤™à¥�à¤— à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,11197,11197,11951,11928,12283,11951,12305,11197,12261,11197,12305,11197,12283,12305,11951,11928,11197,11928,12261,11951,12283,12261,11197,12283,12305,12305,12283,11928,11197,12261,11197,11951,12305,11197,11197,12305,11928,12261,11928,11197,11197,11928,11197,12261,12261,11951,12305,12305,11928,12261,11197,11197,11928,12283,11951,12305,11197,12305,12283,11197,11197,11197,11197,11951,11928,11197,12261,12261,11951,11951,12283,11197,11951,11197,12283,12283,11197,11197,12283,11197,11197,11928,11197,12261,11951,12261,11197,11197,12283,11197,11928,12305,11197,11197,11197,11197
gIhVZulvEsV,10102 Mikwakhola Rural Municipality,10102,à¤®à¤¿à¤•à¥�à¤µà¤¾à¤–à¥‹à¤²à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,7628,7628,8023,7995,9324,8023,9329,7628,9311,7628,9329,7628,9324,9329,8023,7995,7628,7995,9311,8023,9324,9311,7628,9324,9329,9329,9324,7995,7628,9311,7628,8023,9329,7628,7628,9329,7995,9311,7995,7628,7628,7995,7628,9311,9311,8023,9329,9329,7995,9311,7628,7628,7995,9324,8023,9329,7628,9329,9324,7628,7628,7628,7628,8023,7995,7628,9311,9311,8023,8023,9324,7628,8023,7628,9324,9324,7628,7628,9324,7628,7628,7995,7628,9311,8023,9311,7628,7628,9324,7628,7995,9329,7628,7628,7628,7628
dcsJaeSXHa6,10103 Meringden Rural Municipality,10103,à¤®à¥‡à¤°à¤¿à¤™à¥�à¤—à¤¦à¥‡à¤¨ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,11198,11198,12086,12046,13743,12086,13789,11198,13705,11198,13789,11198,13743,13789,12086,12046,11198,12046,13705,12086,13743,13705,11198,13743,13789,13789,13743,12046,11198,13705,11198,12086,13789,11198,11198,13789,12046,13705,12046,11198,11198,12046,11198,13705,13705,12086,13789,13789,12046,13705,11198,11198,12046,13743,12086,13789,11198,13789,13743,11198,11198,11198,11198,12086,12046,11198,13705,13705,12086,12086,13743,11198,12086,11198,13743,13743,11198,11198,13743,11198,11198,12046,11198,13705,12086,13705,11198,11198,13743,11198,12046,13789,11198,11198,11198,11198
zce1OaOO6G0,10104 Maiwakhola Rural Municipality,10104,à¤®à¥ˆà¤µà¤¾à¤–à¥‹à¤²à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,9730,9730,10395,10370,11272,10395,11288,9730,11262,9730,11288,9730,11272,11288,10395,10370,9730,10370,11262,10395,11272,11262,9730,11272,11288,11288,11272,10370,9730,11262,9730,10395,11288,9730,9730,11288,10370,11262,10370,9730,9730,10370,9730,11262,11262,10395,11288,11288,10370,11262,9730,9730,10370,11272,10395,11288,9730,11288,11272,9730,9730,9730,9730,10395,10370,9730,11262,11262,10395,10395,11272,9730,10395,9730,11272,11272,9730,9730,11272,9730,9730,10370,9730,11262,10395,11262,9730,9730,11272,9730,10370,11288,9730,9730,9730,9730
zGGY6Sw9Uuw,10105 Aatharai Tribeni Rural Municipality,10105,à¤†à¤ à¤°à¤¾à¤ˆ à¤¤à¥�à¤°à¤¿à¤µà¥‡à¤£à¥€ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,11665,11665,12298,12289,14065,12298,14089,11665,14041,11665,14089,11665,14065,14089,12298,12289,11665,12289,14041,12298,14065,14041,11665,14065,14089,14089,14065,12289,11665,14041,11665,12298,14089,11665,11665,14089,12289,14041,12289,11665,11665,12289,11665,14041,14041,12298,14089,14089,12289,14041,11665,11665,12289,14065,12298,14089,11665,14089,14065,11665,11665,11665,11665,12298,12289,11665,14041,14041,12298,12298,14065,11665,12298,11665,14065,14065,11665,11665,14065,11665,11665,12289,11665,14041,12298,14041,11665,11665,14065,11665,12289,14089,11665,11665,11665,11665
gIwoGLpdBl1,10106 Phungling Municipality,10106,à¤«à¥�à¤™à¤²à¤¿à¤™à¥�à¤— à¤¨à¤—à¤°à¤ªà¤¾à¤²à¤¿à¤•à¤¾,27843,27843,28732,28777,27613,28732,27684,27843,27537,27843,27684,27843,27613,27684,28732,28777,27843,28777,27537,28732,27613,27537,27843,27613,27684,27684,27613,28777,27843,27537,27843,28732,27684,27843,27843,27684,28777,27537,28777,27843,27843,28777,27843,27537,27537,28732,27684,27684,28777,27537,27843,27843,28777,27613,28732,27684,27843,27684,27613,27843,27843,27843,27843,28732,28777,27843,27537,27537,28732,28732,27613,27843,28732,27843,27613,27613,27843,27843,27613,27843,27843,28777,27843,27537,28732,27537,27843,27843,27613,27843,28777,27684,27843,27843,27843,27843
FpflD8BqlMO,10107 Yangwarak Rural Municipality,10107,à¤¯à¤¾à¤™à¥�à¤µà¤°à¤• à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,11215,11215,11786,11796,13848,11786,13869,11215,13824,11215,13869,11215,13848,13869,11786,11796,11215,11796,13824,11786,13848,13824,11215,13848,13869,13869,13848,11796,11215,13824,11215,11786,13869,11215,11215,13869,11796,13824,11796,11215,11215,11796,11215,13824,13824,11786,13869,13869,11796,13824,11215,11215,11796,13848,11786,13869,11215,13869,13848,11215,11215,11215,11215,11786,11796,11215,13824,13824,11786,11786,13848,11215,11786,11215,13848,13848,11215,11215,13848,11215,11215,11796,11215,13824,11786,13824,11215,11215,13848,11215,11796,13869,11215,11215,11215,11215
LDhcTMEQwFc,10108 Sirijanga Rural Municipality,10108,à¤¸à¤¿à¤°à¥€à¤œà¤™à¥�à¤—à¤¾ à¤—à¤¾à¤‰à¤‚à¤ªà¤¾à¤²à¤¿à¤•à¤¾,13323,13323,14185,14183,16166,14185,16184,13323,16140,13323,16184,13323,16166,16184,14185,14183,13323,14183,16140,14185,16166,16140,13323,16166,16184,16184,16166,14183,13323,16140,13323,14185,16184,13323,13323,16184,14183,16140,14183,13323,13323,14183,13323,16140,16140,14185,16184,16184,14183,16140,13323,13323,14183,16166,14185,16184,13323,16184,16166,13323,13323,13323,13323,14185,14183,13323,16140,16140,14185,14185,16166,13323,14185,13323,16166,16166,13323,13323,16166,13323,13323,14183,13323,16140,14185,16140,13323,13323,16166,13323,14183,16184,13323,13323,13323,13323
xRUd1elou25,10109 Sidingba Rural Municipality,10109,à¤¸à¤¿à¤¦à¤¿à¤™à¥�à¤—à¤µà¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,10388,10388,10999,10982,12335,10999,12353,10388,12314,10388,12353,10388,12335,12353,10999,10982,10388,10982,12314,10999,12335,12314,10388,12335,12353,12353,12335,10982,10388,12314,10388,10999,12353,10388,10388,12353,10982,12314,10982,10388,10388,10982,10388,12314,12314,10999,12353,12353,10982,12314,10388,10388,10982,12335,10999,12353,10388,12353,12335,10388,10388,10388,10388,10999,10982,10388,12314,12314,10999,10999,12335,10388,10999,10388,12335,12335,10388,10388,12335,10388,10388,10982,10388,12314,10999,12314,10388,10388,12335,10388,10982,12353,10388,10388,10388,10388
FJI9kFuS86i,10201 Bhotkhola Rural Municipality,10201,à¤­à¥‹à¤Ÿà¤–à¥‹à¤²à¤¾ à¤—à¤¾à¤‰à¤�à¤ªà¤¾à¤²à¤¿à¤•à¤¾,6047,6047,6729,6628,6454,6729,6432,6047,6476,6047,6432,6047,6454,6432,6729,6628,6047,6628,6476,6729,6454,6476,6047,6454,6432,6432,6454,6628,6047,6476,6047,6729,6432,6047,6047,6432,6628,6476,6628,6047,6047,6628,6047,6476,6476,6729,6432,6432,6628,6476,6047,6047,6628,6454,6729,6432,6047,6432,6454,6047,6047,6047,6047,6729,6628,6047,6476,6476,6729,6729,6454,6047,6729,6047,6454,6454,6047,6047,6454,6047,6047,6628,6047,6476,6729,6476,6047,6047,6454,6047,6628,6432,6047,6047,6047,6047
